Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-1623.884	-1981.534	357.6504	1.473512	1.090182
6	-1611.342	-1969.02	357.6784	1.445487	1.090182
12	-1611.308	-1969.089	357.7806	1.319883	1.111637
18	-1621.278	-1978.923	357.6448	1.347885	1.206451
24	-1613.599	-1971.244	357.6453	1.29131	1.25368
30	-1618.974	-1976.297	357.3224	1.25067	1.537465
36	-1624.032	-1981.751	357.7195	1.340777	1.147728
42	-1627.926	-1985.446	357.5201	1.605392	1.088672
48	-1619.601	-1977.176	357.575	1.471494	1.159849
54	-1609.062	-1966.688	357.6254	1.582315	1.010164
60	-1637.506	-1994.932	357.4264	1.487292	1.272621
66	-1628.94	-1986.486	357.546	1.48402	1.174247
72	-1636.092	-1993.689	357.5973	1.809277	0.7839666
78	-1630.25	-1987.932	357.6816	1.665044	0.8605689
84	-1626.914	-1984.531	357.6173	1.892648	0.5910001
90	-1619.047	-1976.625	357.5783	1.946393	0.504622
96	-1618.4	-1975.978	357.5783	1.946393	0.504622
102	-1630.05	-1987.746	357.6954	1.792897	0.6473223
108	-1618.767	-1976.411	357.6438	1.774145	0.7679592
114	-1632.078	-1989.81	357.7329	1.551184	0.9313301
120	-1621.303	-1978.998	357.6953	1.660383	0.8496392
126	-1632.691	-1990.414	357.7226	1.633036	0.8496392
132	-1630.6	-1988.341	357.7415	1.571265	0.8997763
138	-1635.18	-1992.966	357.7858	1.563766	0.8569844
144	-1623.744	-1981.696	357.952	1.510554	0.6976526
150	-1618.659	-1976.437	357.7777	1.658977	0.7402294
156	-1618.132	-1975.948	357.8159	1.6871	0.6115858
162	-1618.16	-1975.811	357.6512	1.797072	0.7218946
168	-1631.611	-1989.382	357.7709	1.677306	0.7218946
174	-1637.819	-1995.615	357.7964	1.60285	0.7940129
180	-1631.111	-1988.973	357.862	1.442981	0.908466
186	-1631.709	-1989.524	357.8147	1.515777	0.8795561
192	-1615.972	-1973.69	357.7179	1.717112	0.742708
198	-1633.372	-1991.069	357.6978	1.720673	0.7672795
204	-1630.658	-1988.443	357.7842	1.634211	0.7672795
210	-1637.954	-1995.678	357.7242	1.687576	0.7767224
216	-1638.093	-1995.738	357.6454	1.458107	1.10891
222	-1646.668	-2004.396	357.7275	1.375968	1.10891
228	-1646.199	-2003.791	357.5924	1.249427	1.33098
234	-1629.951	-1987.614	357.6632	1.337909	1.199234
240	-1628.75	-1986.399	357.6489	1.304021	1.240079
246	-1624.188	-1981.765	357.5773	1.371896	1.243223
252	-1627.885	-1985.484	357.5988	1.445313	1.161959
258	-1631.241	-1988.775	357.5345	1.269709	1.360945
264	-1619.983	-1977.688	357.7049	1.548664	0.9636152
270	-1617.392	-1975.105	357.7131	1.737295	0.7183803
276	-1619.232	-1976.995	357.763	1.668571	0.7479277
282	-1631.393	-1989.029	357.6363	1.839961	0.6722423
288	-1634.981	-1992.821	357.8395	1.63676	0.6722423
294	-1632.875	-1990.684	357.8093	1.64	0.7200974
300	-1638.645	-1996.077	357.4316	1.326106	1.397431
306	-1637.545	-1995.081	357.5355	1.40859	1.247501
312	-1626.204	-1983.871	357.6666	1.191005	1.31833
318	-1631.103	-1988.681	357.578	1.311982	1.292085
324	-1631.076	-1988.579	357.5032	1.380645	1.29707
330	-1625.382	-1983.221	357.8383	1.527459	0.837213
336	-1631.331	-1989.217	357.8861	1.527459	0.7742836
342	-1619.64	-1977.438	357.798	1.521959	0.8916607
348	-1629.995	-1987.526	357.5305	1.35486	1.295867
354	-1623.416	-1981.224	357.8079	1.547511	0.8500152
360	-1621.206	-1978.949	357.7422	1.614871	0.8479754
366	-1615.118	-1972.851	357.7324	1.748903	0.6622716
